panel,gender,row_order,system,endpoint,label_display,seed,baseline_auc_raw,baseline_auc_plotted,gait_auc
a,male,11,medical_conditions,Back Pain,Back Pain,5,0.5493707468290334,0.5493707468290334,0.5776605861502551
a,male,11,medical_conditions,Back Pain,Back Pain,6,0.5487359359754969,0.5487359359754969,0.5792834294606577
a,male,11,medical_conditions,Back Pain,Back Pain,7,0.5625671553310526,0.5625671553310526,0.5853894700440909
a,male,11,medical_conditions,Back Pain,Back Pain,8,0.5641517123837518,0.5641517123837518,0.5683236794328694
a,male,11,medical_conditions,Back Pain,Back Pain,9,0.5482863812076227,0.5482863812076227,0.5738937124084525
a,male,12,medical_conditions,Haemorrhoids,Haemorrhoids,0,0.5218860405129522,0.5218860405129522,0.5296243322208775
a,male,12,medical_conditions,Haemorrhoids,Haemorrhoids,1,0.5339201232258775,0.5339201232258775,0.5520714905685749
a,male,12,medical_conditions,Haemorrhoids,Haemorrhoids,2,0.5371059033508148,0.5371059033508148,0.5307245632693977
a,male,12,medical_conditions,Haemorrhoids,Haemorrhoids,3,0.5296023275999071,0.5296023275999071,0.5365631227002114
a,male,12,medical_conditions,Haemorrhoids,Haemorrhoids,4,0.5369469810882507,0.5369469810882507,0.5370545592352172
a,male,12,medical_conditions,Haemorrhoids,Haemorrhoids,5,0.5425923888461022,0.5425923888461022,0.5327220938619333
a,male,12,medical_conditions,Haemorrhoids,Haemorrhoids,6,0.5430434835759954,0.5430434835759954,0.5429566875710565
a,male,12,medical_conditions,Haemorrhoids,Haemorrhoids,7,0.5356780479456242,0.5356780479456242,0.5502695566068875
a,male,12,medical_conditions,Haemorrhoids,Haemorrhoids,8,0.539619320057212,0.539619320057212,0.5484969621398271
a,male,12,medical_conditions,Haemorrhoids,Haemorrhoids,9,0.5321389714062175,0.5321389714062175,0.5215168518722265
a,male,13,medical_conditions,Peptic Ulcer Disease,Peptic Ulcer Disease,0,0.5392276032670122,0.5392276032670122,0.5734544601539675
a,male,13,medical_conditions,Peptic Ulcer Disease,Peptic Ulcer Disease,1,0.5,0.5,0.5435992578849722
a,male,13,medical_conditions,Peptic Ulcer Disease,Peptic Ulcer Disease,2,0.5364340093404133,0.5364340093404133,0.5253022839229736
a,male,13,medical_conditions,Peptic Ulcer Disease,Peptic Ulcer Disease,3,0.5,0.5,0.4846352334037063
a,male,13,medical_conditions,Peptic Ulcer Disease,Peptic Ulcer Disease,4,0.5,0.5,0.6305631970656602
a,male,13,medical_conditions,Peptic Ulcer Disease,Peptic Ulcer Disease,5,0.5159298829249568,0.5159298829249568,0.5617043055466701
a,male,13,medical_conditions,Peptic Ulcer Disease,Peptic Ulcer Disease,6,0.5088179472415926,0.5088179472415926,0.5759495020578764
a,male,13,medical_conditions,Peptic Ulcer Disease,Peptic Ulcer Disease,7,0.5219329110954727,0.5219329110954727,0.5455824963214126
a,male,13,medical_conditions,Peptic Ulcer Disease,Peptic Ulcer Disease,8,0.5100121553323524,0.5100121553323524,0.5179877593670698
a,male,13,medical_conditions,Peptic Ulcer Disease,Peptic Ulcer Disease,9,0.5,0.5,0.5176039067664684
a,male,14,medical_conditions,Osteoarthritis,Osteoarthritis,0,0.6479536979845812,0.6479536979845812,0.6292407293024957
a,male,14,medical_conditions,Osteoarthritis,Osteoarthritis,1,0.6406332212385331,0.6406332212385331,0.6198156154919588
a,male,14,medical_conditions,Osteoarthritis,Osteoarthritis,2,0.650790382723675,0.650790382723675,0.6189463088783657
a,male,14,medical_conditions,Osteoarthritis,Osteoarthritis,3,0.6466726145540228,0.6466726145540228,0.6420515636080799
a,male,14,medical_conditions,Osteoarthritis,Osteoarthritis,4,0.6572644293459612,0.6572644293459612,0.6454372841031272
a,male,14,medical_conditions,Osteoarthritis,Osteoarthritis,5,0.6442019536522317,0.6442019536522317,0.610962413927207
a,male,14,medical_conditions,Osteoarthritis,Osteoarthritis,6,0.646169331777732,0.646169331777732,0.6196326035733077
a,male,14,medical_conditions,Osteoarthritis,Osteoarthritis,7,0.6290119644041818,0.6290119644041818,0.621302587331
a,male,14,medical_conditions,Osteoarthritis,Osteoarthritis,8,0.6388259785418524,0.6388259785418524,0.6714478530414293
a,male,14,medical_conditions,Osteoarthritis,Osteoarthritis,9,0.6480223274540754,0.6480223274540754,0.6433555235284698
a,male,15,medical_conditions,Anemia,Anemia,0,0.5,0.5,0.4292518587360594
a,male,15,medical_conditions,Anemia,Anemia,1,0.5,0.5,0.4233271375464684
a,male,15,medical_conditions,Anemia,Anemia,2,0.5,0.5,0.4487685873605948
a,male,15,medical_conditions,Anemia,Anemia,3,0.5,0.5,0.3482225836431226
a,male,15,medical_conditions,Anemia,Anemia,4,0.5,0.5,0.4467936802973977
a,male,15,medical_conditions,Anemia,Anemia,5,0.5,0.5,0.4487685873605948
a,male,15,medical_conditions,Anemia,Anemia,6,0.5,0.5,0.5060989776951672
a,male,15,medical_conditions,Anemia,Anemia,7,0.5,0.5,0.4306459107806691
a,male,15,medical_conditions,Anemia,Anemia,8,0.5,0.5,0.4396298017348203
a,male,15,medical_conditions,Anemia,Anemia,9,0.5,0.5,0.452892657992565
a,male,16,medical_conditions,Heart valve disease,Heart valve disease,0,0.5,0.5,0.5302043987248519
a,male,16,medical_conditions,Heart valve disease,Heart valve disease,1,0.5,0.5,0.5433309223392001
a,male,16,medical_conditions,Heart valve disease,Heart valve disease,2,0.5,0.5,0.5044871279702108
a,male,16,medical_conditions,Heart valve disease,Heart valve disease,3,0.5,0.5,0.5230517827962173
a,male,16,medical_conditions,Heart valve disease,Heart valve disease,4,0.5,0.5,0.4859492619679069
a,male,16,medical_conditions,Heart valve disease,Heart valve disease,5,0.5,0.5,0.5091483832944896
a,male,16,medical_conditions,Heart valve disease,Heart valve disease,6,0.5,0.5,0.5239358139784082
a,male,16,medical_conditions,Heart valve disease,Heart valve disease,7,0.5112513059551554,0.5112513059551554,0.4611963888665648
a,male,16,medical_conditions,Heart valve disease,Heart valve disease,8,0.5129523962602802,0.5129523962602802,0.5586809183208765
a,male,16,medical_conditions,Heart valve disease,Heart valve disease,9,0.5,0.5,0.5378660023038389
a,male,17,medical_conditions,Asthma,Asthma,0,0.5070087117966295,0.5070087117966295,0.4994787203656098
a,male,17,medical_conditions,Asthma,Asthma,1,0.5187053698943159,0.5187053698943159,0.5349900028563268
a,male,17,medical_conditions,Asthma,Asthma,2,0.5384461582405027,0.5384461582405027,0.5279205941159669
a,male,17,medical_conditions,Asthma,Asthma,3,0.5296700942587832,0.5296700942587832,0.515824050271351
a,male,17,medical_conditions,Asthma,Asthma,4,0.5228648957440731,0.5228648957440731,0.5513638960297058
a,male,17,medical_conditions,Asthma,Asthma,5,0.5172307912025136,0.5172307912025136,0.5254141673807483
a,male,17,medical_conditions,Asthma,Asthma,6,0.5298271922307912,0.5298271922307912,0.5279920022850615
a,male,17,medical_conditions,Asthma,Asthma,7,0.5183447586403884,0.5183447586403884,0.5170237075121393
