panel,target,series,seed,pearson_r
Male,BMI,GaitMAE gait embeddings,1,0.897539179080393
Male,BMI,GaitMAE gait embeddings,2,0.8975445866852735
Male,BMI,GaitMAE gait embeddings,3,0.8971897887892472
Male,BMI,GaitMAE gait embeddings,4,0.8980003325221286
Male,BMI,GaitMAE gait embeddings,5,0.8971711001116113
Male,BMI,GaitMAE gait embeddings,6,0.8976531776861786
Male,BMI,GaitMAE gait embeddings,7,0.8978973740858418
Male,BMI,GaitMAE gait embeddings,8,0.8977132868195886
Male,BMI,GaitMAE gait embeddings,9,0.897897490662506
Male,BMI,GaitMAE gait embeddings,10,0.8977185734782915
Male,BMI,GaitMAE gait embeddings,11,0.8986667161734557
Male,BMI,GaitMAE gait embeddings,12,0.8970581999578523
Male,BMI,GaitMAE gait embeddings,13,0.8982765632344066
Male,BMI,GaitMAE gait embeddings,14,0.8977295005730374
Male,BMI,Normalized keypoints,0,0.8621415372895616
Male,BMI,Normalized keypoints,1,0.8627899768452093
Male,BMI,Normalized keypoints,2,0.8636504483564525
Male,BMI,Normalized keypoints,3,0.8610126147458422
Male,BMI,Normalized keypoints,4,0.8615060802249804
Male,Grip right,GaitMAE gait embeddings,0,0.4752553922542141
Male,Grip right,GaitMAE gait embeddings,1,0.4675283014774592
Male,Grip right,GaitMAE gait embeddings,2,0.468669539611983
Male,Grip right,GaitMAE gait embeddings,3,0.4689797789161229
Male,Grip right,GaitMAE gait embeddings,4,0.4727255219181655
Male,Grip right,GaitMAE gait embeddings,5,0.4691870240377408
Male,Grip right,GaitMAE gait embeddings,6,0.4678681866986305
Male,Grip right,GaitMAE gait embeddings,7,0.4740886278417865
Male,Grip right,GaitMAE gait embeddings,8,0.4721007533955008
Male,Grip right,GaitMAE gait embeddings,9,0.4672078432885781
Male,Grip right,GaitMAE gait embeddings,10,0.4708782064924231
Male,Grip right,GaitMAE gait embeddings,11,0.4712830063959811
Male,Grip right,GaitMAE gait embeddings,12,0.4726502418684651
Male,Grip right,GaitMAE gait embeddings,13,0.4581608514904904
Male,Grip right,GaitMAE gait embeddings,14,0.4647026542979323
Male,Grip right,Normalized keypoints,0,0.3903178013061685
Male,Grip right,Normalized keypoints,1,0.3814878522578951
Male,Grip right,Normalized keypoints,2,0.3791609880839183
Male,Grip right,Normalized keypoints,3,0.3851602722529285
Male,Grip right,Normalized keypoints,4,0.3869603405316089
Male,Heart rate,GaitMAE gait embeddings,0,0.3562180988949278
Male,Heart rate,GaitMAE gait embeddings,1,0.3585258252931016
Male,Heart rate,GaitMAE gait embeddings,2,0.3633499941457317
Male,Heart rate,GaitMAE gait embeddings,3,0.3650414632656482
Male,Heart rate,GaitMAE gait embeddings,4,0.3653723682624221
Male,Heart rate,GaitMAE gait embeddings,5,0.3612313181721341
Male,Heart rate,GaitMAE gait embeddings,6,0.3539555794141664
Male,Heart rate,GaitMAE gait embeddings,7,0.3538276286118635
Male,Heart rate,GaitMAE gait embeddings,8,0.3495578935510297
Male,Heart rate,GaitMAE gait embeddings,9,0.3565769442047951
Male,Heart rate,GaitMAE gait embeddings,10,0.3488574350269645
Male,Heart rate,GaitMAE gait embeddings,11,0.3598912995937465
