panel,gender,x_position,system,system_display,label,pearson_r,baseline_pearson_r,pearson_r_improvement,score_pvalue,wilcox_pvalue,wilcox_pvalue_fdr,n_seeds,n_subjects,description
Male,male,2,metabolites,Metabolites,4.82_552.3308m_z,0.0872524445377634,-0.0063330207727535,0.0935854653105169,0.0188348252856571,3.0517578125e-05,0.0003283323355056,15,853,
Male,male,2,metabolites,Metabolites,4.85_526.2843m_z,0.1064712162485515,0.0783744496264416,0.0280967666221099,0.004566501715197,6.103515625e-05,0.0005502158717105,15,853,
Male,male,2,metabolites,Metabolites,4.87_612.3309m_z,0.0948678479144477,-0.0264444801246795,0.1213123280391272,0.009258909508727,3.0517578125e-05,0.0003283323355056,15,853,
Male,male,2,metabolites,Metabolites,4.87_612.4463m_z,0.1320634317615049,-0.0246589284260947,0.1567223601875997,0.0008690944110332,3.0517578125e-05,0.0003283323355056,15,853,
Male,male,2,metabolites,Metabolites,4.87_626.3464m_z,0.1309917077952611,-0.033916236855628,0.1649079446508892,0.001902377380057,3.0517578125e-05,0.0003283323355056,15,853,
Male,male,2,metabolites,Metabolites,4.90_528.3091m_z,0.1083369160390991,0.0458052539821181,0.0625316620569809,0.0030749922712931,3.0517578125e-05,0.0003283323355056,15,853,
Male,male,2,metabolites,Metabolites,4.90_602.3465m_z,0.0918397669481064,0.0377467916645777,0.0540929752835287,0.0168309210896723,3.0517578125e-05,0.0003283323355056,15,853,
Male,male,2,metabolites,Metabolites,4.91_588.3307m_z,0.0862624012612477,0.0369462335389608,0.0493161677222868,0.0237489441270134,3.0517578125e-05,0.0003283323355056,15,853,
Male,male,2,metabolites,Metabolites,4.93_526.2848m_z,0.1188929599117344,0.0859449101194955,0.0329480497922389,0.0034899725411953,0.000213623046875,0.0015717077091387,15,853,Metabolite biomarker
Male,male,2,metabolites,Metabolites,4.95_552.3097m_z,0.0738725537174393,0.0096815715501202,0.0641909821673191,0.0460952901262708,3.0517578125e-05,0.0003283323355056,15,853,
Male,male,2,metabolites,Metabolites,4.95_612.4456m_z,0.1324106733393653,-0.0184958915907369,0.1509065649301022,0.0008557636723334,3.0517578125e-05,0.0003283323355056,15,853,
Male,male,2,metabolites,Metabolites,4.95_626.3464m_z,0.1261980121702842,-0.0233092203184365,0.1495072324887207,0.0024288648047669,3.0517578125e-05,0.0003283323355056,15,853,
Male,male,2,metabolites,Metabolites,4.98_528.3099m_z,0.1159778700457865,0.0475583385225645,0.068419531523222,0.0016450341579441,3.0517578125e-05,0.0003283323355056,15,853,
Male,male,2,metabolites,Metabolites,4.98_588.3307m_z,0.091899645152325,0.0380876675930016,0.0538119775593234,0.0112678958198534,3.0517578125e-05,0.0003283323355056,15,853,
Male,male,2,metabolites,Metabolites,5.11_590.3465m_z,0.0913890808534605,-0.0317107264691998,0.1230998073226604,0.0193503125607612,3.0517578125e-05,0.0003283323355056,15,853,
Male,male,2,metabolites,Metabolites,5.11_604.3618m_z,0.1266896136541137,-0.0533262369822878,0.1800158506364016,0.0008886922678257,3.0517578125e-05,0.0003283323355056,15,853,
Male,male,2,metabolites,Metabolites,5.21_590.3467m_z,0.0952984040295431,-0.0151965845943466,0.1104949886238898,0.0122193209553435,3.0517578125e-05,0.0003283323355056,15,853,
Male,male,2,metabolites,Metabolites,5.21_604.3621m_z,0.1142567352516401,-0.0461685391864168,0.160425274438057,0.002223036402141,3.0517578125e-05,0.0003283323355056,15,853,
Male,male,2,metabolites,Metabolites,5.37_291.1602m_z,0.2627569609194415,-0.0277282717975776,0.2904852327170192,8.71921984577221e-14,3.0517578125e-05,0.0003283323355056,15,853,
Male,male,2,metabolites,Metabolites,5.78_391.2859m_z,0.1233643319584144,0.0210214576681188,0.1023428742902956,0.0026990477762559,3.0517578125e-05,0.0003283323355056,15,853,
Male,male,2,metabolites,Metabolites,5.88_391.2860m_z,0.1195627924330719,0.0131906159587792,0.1063721764742927,0.0030442461944751,3.0517578125e-05,0.0003283323355056,15,853,
Male,male,2,metabolites,Metabolites,5.95_391.2859m_z,0.1217932618308848,0.0160806046596651,0.1057126571712196,0.0021257739493586,3.0517578125e-05,0.0003283323355056,15,853,
Male,male,2,metabolites,Metabolites,Fibrinopeptide A (5-16)_,0.0952253946095456,-0.0394787300830168,0.1347041246925625,0.0101035917795744,3.0517578125e-05,0.0003283323355056,15,853,Annotated metabolite (original: 1.99_601.7771m_z)
Male,male,2,metabolites,Metabolites,Fibrinopeptide B (1-12),0.1059894523009127,0.0260079003272867,0.0799815519736259,0.0067112235244631,3.0517578125e-05,0.0003283323355056,15,853,Annotated metabolite (original: 2.34_661.2535m_z)
Male,male,2,metabolites,Metabolites,Indoleacrylic acid,0.0916057374165713,0.0664006270819412,0.02520511033463,0.0150429876305943,0.000152587890625,0.0011879660866477,15,853,Annotated metabolite (original: 1.80_186.0563m_z)
Male,male,2,metabolites,Metabolites,Isopropyl 4-hydroxybenzoate_propyl 4-hydroxybenzoate,0.1308054506592512,0.023846027018078,0.1069594236411731,0.0006213262808208,3.0517578125e-05,0.0003283323355056,15,853,Annotated metabolite (original: 3.64_179.0728m_z)
Male,male,2,metabolites,Metabolites,LysoPE(0_0_22_6(4Z 7Z 10Z 13Z 16Z 19Z))_LysoPE(22_6(4Z 7Z 10Z 13Z 16Z 19Z)_0_0),0.1093026935585015,0.0725146377265408,0.0367880558319607,0.0098333422357446,9.1552734375e-05,0.0007732323640902,15,853,Annotated metabolite (original: 4.85_524.2785m_z)
Male,male,2,metabolites,Metabolites,LysoPE(0_0_22_6(4Z 7Z 10Z 13Z 16Z 19Z))_LysoPE(22_6(4Z 7Z 10Z 13Z 16Z 19Z)_0_0).1,0.0945228769750182,0.065341490141105,0.0291813868339131,0.0182689552374055,0.000152587890625,0.0011879660866477,15,853,Annotated metabolite (original: 4.93_524.2790m_z)
