panel,activity,activity_key,seed,fold,auc,accuracy,n_positive,n_negative
b,Stationary Walking,stationary_walk,4,1,0.9985174415019972,0.9996988858777476,674,2647
b,Stationary Walking,stationary_walk,4,2,1.0,1.0,683,2661
b,Stationary Walking,stationary_walk,4,3,1.0,0.9996994289149383,679,2648
b,Stationary Walking,stationary_walk,4,4,1.0,1.0,678,2629
b,Treadmill 3km/h,tm_3kmh,0,0,0.9671193873262992,0.9144736842105264,649,2695
b,Treadmill 3km/h,tm_3kmh,0,1,0.9640447952288328,0.9109238639783328,636,2687
b,Treadmill 3km/h,tm_3kmh,0,2,0.9624782385106412,0.9119155354449472,632,2683
b,Treadmill 3km/h,tm_3kmh,0,3,0.9650616926932716,0.9171741778319124,624,2660
b,Treadmill 3km/h,tm_3kmh,0,4,0.9652903056808346,0.9172126265634306,648,2710
b,Treadmill 3km/h,tm_3kmh,1,0,0.96290217209063,0.9087908790879088,643,2690
b,Treadmill 3km/h,tm_3kmh,1,1,0.9692379504185246,0.920346062052506,645,2707
b,Treadmill 3km/h,tm_3kmh,1,2,0.964946749951292,0.917593984962406,633,2692
b,Treadmill 3km/h,tm_3kmh,1,3,0.9660305031740104,0.9156118143459916,640,2678
b,Treadmill 3km/h,tm_3kmh,1,4,0.9636939094147192,0.912621359223301,628,2668
b,Treadmill 3km/h,tm_3kmh,2,0,0.9650055691587198,0.9162413689582708,639,2692
b,Treadmill 3km/h,tm_3kmh,2,1,0.9661640584592428,0.9178082191780822,644,2714
b,Treadmill 3km/h,tm_3kmh,2,2,0.9669559514189008,0.9171936163806084,636,2685
b,Treadmill 3km/h,tm_3kmh,2,3,0.9670347289394908,0.9157099697885196,637,2673
b,Treadmill 3km/h,tm_3kmh,2,4,0.961458956210376,0.9116222760290555,633,2671
b,Treadmill 3km/h,tm_3kmh,3,0,0.9645924523837692,0.913516782582401,632,2675
b,Treadmill 3km/h,tm_3kmh,3,1,0.965233471194504,0.9102792632204396,653,2713
b,Treadmill 3km/h,tm_3kmh,3,2,0.9636621763367048,0.9125748502994012,643,2697
b,Treadmill 3km/h,tm_3kmh,3,3,0.967697139252966,0.9159077109896782,628,2666
b,Treadmill 3km/h,tm_3kmh,3,4,0.9644373185667569,0.9089538739825144,633,2684
b,Treadmill 3km/h,tm_3kmh,4,0,0.9663799811702228,0.9166917293233082,638,2687
b,Treadmill 3km/h,tm_3kmh,4,1,0.9640481290893428,0.9135802469135802,641,2680
b,Treadmill 3km/h,tm_3kmh,4,2,0.9633346832447274,0.9141746411483254,645,2699
b,Treadmill 3km/h,tm_3kmh,4,3,0.9647123301758248,0.9149383829275624,636,2691
b,Treadmill 3km/h,tm_3kmh,4,4,0.9663221847687868,0.917750226791654,629,2678
