activity,fpr,tpr,auc
activity_tm_3kmh,0.007172743574417215,0.7184049079754601,0.9865327705638817
activity_tm_3kmh,0.007172743574417215,0.7521472392638037,0.9865327705638817
activity_tm_3kmh,0.007770472205618649,0.7601226993865031,0.9865327705638817
activity_tm_3kmh,0.008368200836820083,0.7601226993865031,0.9865327705638817
activity_tm_3kmh,0.008965929468021518,0.7705521472392638,0.9865327705638817
activity_tm_3kmh,0.008965929468021518,0.7779141104294478,0.9865327705638817
activity_tm_3kmh,0.009563658099222952,0.7779141104294478,0.9865327705638817
activity_tm_3kmh,0.010161386730424387,0.7858895705521473,0.9865327705638817
activity_tm_3kmh,0.010161386730424387,0.7993865030674847,0.9865327705638817
activity_tm_3kmh,0.010759115361625823,0.8067484662576687,0.9865327705638817
activity_tm_3kmh,0.011954572624028692,0.8067484662576687,0.9865327705638817
activity_tm_3kmh,0.011954572624028692,0.8141104294478527,0.9865327705638817
activity_tm_3kmh,0.012552301255230125,0.8147239263803681,0.9865327705638817
activity_tm_3kmh,0.013747758517632994,0.8147239263803681,0.9865327705638817
activity_tm_3kmh,0.01434548714883443,0.8226993865030675,0.9865327705638817
activity_tm_3kmh,0.01434548714883443,0.8276073619631902,0.9865327705638817
activity_tm_3kmh,0.015540944411237299,0.8282208588957055,0.9865327705638817
activity_tm_3kmh,0.016138673042438732,0.8282208588957055,0.9865327705638817
activity_tm_3kmh,0.016138673042438732,0.8343558282208589,0.9865327705638817
activity_tm_3kmh,0.016736401673640166,0.8386503067484663,0.9865327705638817
activity_tm_3kmh,0.017334130304841603,0.8386503067484663,0.9865327705638817
activity_tm_3kmh,0.017931858936043037,0.839877300613497,0.9865327705638817
activity_tm_3kmh,0.017931858936043037,0.8411042944785276,0.9865327705638817
activity_tm_3kmh,0.01852958756724447,0.8411042944785276,0.9865327705638817
activity_tm_3kmh,0.019127316198445904,0.843558282208589,0.9865327705638817
activity_tm_3kmh,0.019127316198445904,0.847239263803681,0.9865327705638817
activity_tm_3kmh,0.01972504482964734,0.8484662576687116,0.9865327705638817
activity_tm_3kmh,0.020322773460848775,0.8484662576687116,0.9865327705638817
activity_tm_3kmh,0.020322773460848775,0.849079754601227,0.9865327705638817
activity_tm_3kmh,0.021518230723251645,0.8650306748466258,0.9865327705638817
activity_tm_3kmh,0.02211595935445308,0.8650306748466258,0.9865327705638817
activity_tm_3kmh,0.022713687985654513,0.8687116564417178,0.9865327705638817
activity_tm_3kmh,0.022713687985654513,0.8699386503067484,0.9865327705638817
activity_tm_3kmh,0.023311416616855946,0.8717791411042944,0.9865327705638817
activity_tm_3kmh,0.023909145248057383,0.8717791411042944,0.9865327705638817
activity_tm_3kmh,0.023909145248057383,0.8730061349693251,0.9865327705638817
