system,label,gender,seed_idx,baseline_auc,gait_auc
medications,ANTIHISTAMINESFORSYSTEMICUSE,male,7,0.5206144957983194,0.5717349439775911
medications,ANTIHISTAMINESFORSYSTEMICUSE,male,8,0.5808823529411765,0.7211134453781513
medications,ANTIHISTAMINESFORSYSTEMICUSE,male,9,0.5582545518207283,0.6657913165266106
medications,DRUGSFORPEPTICULCERANDGASTROOESOPHAGEALREFLUXDISEASEGORD,male,0,0.6344157208911307,0.6968684321143337
medications,DRUGSFORPEPTICULCERANDGASTROOESOPHAGEALREFLUXDISEASEGORD,male,1,0.6293610760823876,0.6913724253888188
medications,DRUGSFORPEPTICULCERANDGASTROOESOPHAGEALREFLUXDISEASEGORD,male,2,0.6308427910886927,0.6904371584699454
medications,DRUGSFORPEPTICULCERANDGASTROOESOPHAGEALREFLUXDISEASEGORD,male,3,0.6116120218579234,0.6633249264396807
medications,DRUGSFORPEPTICULCERANDGASTROOESOPHAGEALREFLUXDISEASEGORD,male,4,0.6208175704077343,0.6601092896174863
medications,DRUGSFORPEPTICULCERANDGASTROOESOPHAGEALREFLUXDISEASEGORD,male,5,0.6259352669188735,0.6648276586801177
medications,DRUGSFORPEPTICULCERANDGASTROOESOPHAGEALREFLUXDISEASEGORD,male,6,0.6138083228247163,0.6657524169819251
medications,DRUGSFORPEPTICULCERANDGASTROOESOPHAGEALREFLUXDISEASEGORD,male,7,0.6406788566624633,0.6847730138713746
medications,DRUGSFORPEPTICULCERANDGASTROOESOPHAGEALREFLUXDISEASEGORD,male,8,0.6292664985287937,0.653520386717108
medications,DRUGSFORPEPTICULCERANDGASTROOESOPHAGEALREFLUXDISEASEGORD,male,9,0.6261244220260613,0.689186633039092
medical_conditions,Myocarditis,female,0,0.5,0.5552706552706553
medical_conditions,Myocarditis,female,1,0.5,0.7531339031339032
medical_conditions,Myocarditis,female,2,0.5,0.6370370370370371
medical_conditions,Myocarditis,female,3,0.5,0.7162393162393161
medical_conditions,Myocarditis,female,4,0.5,0.6331908831908832
medical_conditions,Myocarditis,female,5,0.5,0.6361823361823362
medical_conditions,Myocarditis,female,6,0.5,0.595014245014245
medical_conditions,Myocarditis,female,7,0.5,0.7760683760683762
medical_conditions,Myocarditis,female,8,0.5,0.7663817663817665
medical_conditions,Myocarditis,female,9,0.5,0.5937321937321938
medical_conditions,Hypercholesterolaemia,female,0,0.5,0.5283922462941848
medical_conditions,Hypercholesterolaemia,female,1,0.5,0.5501710376282782
