system,label,score_type,score,delta,is_better,is_significant,model,sub_model,baseline_model,baseline_score,gender,label_type,score_pvalue,wilcox_pvalue,n_seeds,n_subjects,n_positive,wilcox_pvalue_fdr
proteomics,RNF25,pearson_r,0.0543650734606206,0.0332118719014302,True,1.0,long_seq,activity_stationary_walk,Age_Gender_BMI_height_VAT,0.0211532015591903,female,regression,0.3892955208866501,0.002685546875,15,659,,0.0170923459233162
proteomics,VPS54,pearson_r,-0.0461112068889079,0.0331293589021802,True,0.0,long_seq,activity_stationary_walk,Age_Gender_BMI_height_VAT,-0.0792405657910882,female,regression,0.4572476995842251,0.012786865234375,15,659,,0.071079927332261
proteomics,DDX60,pearson_r,0.0371318920627698,0.0328936652699006,True,1.0,long_seq,activity_stationary_walk,Age_Gender_BMI_height_VAT,0.0042382267928692,male,regression,0.5305761931919356,0.007537841796875,15,659,,0.0372861616983077
proteomics,LRRC37A2,pearson_r,0.0181408336660648,0.0326281018791942,True,0.0,long_seq,activity_stationary_walk,Age_Gender_BMI_height_VAT,-0.0144872682131294,female,regression,0.6665521907050268,0.017669677734375,15,659,,0.0951797882420422
proteomics,NPTXR,pearson_r,0.1173718773604783,0.0323594612972676,True,1.0,long_seq,activity_stationary_walk,Age_Gender_BMI_height_VAT,0.0850124160632107,female,regression,0.0599272281260396,0.000762939453125,15,659,,0.0055091325626816
proteomics,BMP7,pearson_r,0.0284657159617129,0.0322090901503403,True,1.0,long_seq,activity_stationary_walk,Age_Gender_BMI_height_VAT,-0.0037433741886273,male,regression,0.5809809247447043,0.0062255859375,15,659,,0.0313659880141946
proteomics,SDHB,pearson_r,0.0154759390615458,0.0321146544557788,True,1.0,long_seq,activity_stationary_walk,Age_Gender_BMI_height_VAT,-0.016638715394233,male,regression,0.6535265085992122,0.00042724609375,15,659,,0.0027198623947657
proteomics,IFIT3,pearson_r,-0.0682870972352863,0.0319848596692081,True,1.0,long_seq,activity_stationary_walk,Age_Gender_BMI_height_VAT,-0.1002719569044944,male,regression,0.266104386575095,0.0062255859375,15,659,,0.0313659880141946
proteomics,SPRY2,pearson_r,0.0220747084109278,0.0316206242202416,True,0.0,long_seq,activity_stationary_walk,Age_Gender_BMI_height_VAT,-0.0095459158093137,female,regression,0.5329364472701807,0.01507568359375,15,659,,0.0825365196247245
proteomics,MORC3,pearson_r,0.0043876186185637,0.0315929928830384,True,1.0,long_seq,activity_stationary_walk,Age_Gender_BMI_height_VAT,-0.0272053742644747,male,regression,0.6748060041162945,0.001678466796875,15,659,,0.0096025968852796
proteomics,IL4,pearson_r,-0.040524391358877,0.0313277564065626,True,1.0,long_seq,activity_stationary_walk,Age_Gender_BMI_height_VAT,-0.0718521477654397,male,regression,0.5035024645067697,0.005126953125,15,659,,0.0264123130183649
proteomics,NUP50,pearson_r,0.0129159201511535,0.0311292922540896,True,0.0,long_seq,activity_stationary_walk,Age_Gender_BMI_height_VAT,-0.0182133721029361,female,regression,0.5324781955813005,0.023956298828125,15,659,,0.1256188552543538
proteomics,AKAP2,pearson_r,0.0286583082767698,0.0310874070556109,True,1.0,long_seq,activity_stationary_walk,Age_Gender_BMI_height_VAT,-0.002429098778841,female,regression,0.6293633552517709,0.0062255859375,15,659,,0.0367698669433593
proteomics,S100A16,pearson_r,0.0314760767045014,0.0309927351239915,True,1.0,long_seq,activity_stationary_walk,Age_Gender_BMI_height_VAT,0.0004833415805098,male,regression,0.5419704088595523,0.001312255859375,15,659,,0.0076075846354166
proteomics,ADAMTSL4,pearson_r,0.0875469745910323,0.030835998802421,True,0.0,long_seq,activity_stationary_walk,Age_Gender_BMI_height_VAT,0.0567109757886113,female,regression,0.1743786097111496,0.017669677734375,15,659,,0.0951797882420422
proteomics,KIF22,pearson_r,-0.0350877181973622,0.030747125821472,True,0.0,long_seq,activity_stationary_walk,Age_Gender_BMI_height_VAT,-0.0658348440188343,male,regression,0.4644100157735493,0.04730224609375,15,659,,0.2022322183044493
proteomics,MKI67,pearson_r,-0.0173243370413867,0.0307183636663017,True,1.0,long_seq,activity_stationary_walk,Age_Gender_BMI_height_VAT,-0.0480427007076885,male,regression,0.554895475879397,0.005126953125,15,659,,0.0264123130183649
proteomics,GAP43,pearson_r,0.0317820792153148,0.0306914608582515,True,0.0,long_seq,activity_stationary_walk,Age_Gender_BMI_height_VAT,0.0010906183570633,male,regression,0.5309576004357872,0.0206298828125,15,659,,0.0948189539838794
proteomics,CD63,pearson_r,0.0590443382752396,0.0306660282169254,True,0.0,long_seq,activity_stationary_walk,Age_Gender_BMI_height_VAT,0.0283783100583142,female,regression,0.3308404054021676,0.012786865234375,15,659,,0.071079927332261
proteomics,IFNG,pearson_r,-0.1115412813531876,0.0306427880961917,True,1.0,long_seq,activity_stationary_walk,Age_Gender_BMI_height_VAT,-0.1421840694493793,female,regression,0.0726365207396488,0.0062255859375,15,659,,0.0367698669433593
proteomics,HDAC9,pearson_r,-0.0422375435854031,0.0305726866840606,True,0.0,long_seq,activity_stationary_walk,Age_Gender_BMI_height_VAT,-0.0728102302694637,male,regression,0.4351209289165322,0.01507568359375,15,659,,0.0707873350600701
