target,activity,gender,metric,source,seed,value
bmi,ensemble,all,pearson_r,embeddings,10,0.9048700232219642
bmi,ensemble,all,pearson_r,embeddings,11,0.9075282811543722
bmi,ensemble,all,pearson_r,embeddings,12,0.9061938114039404
bmi,ensemble,all,pearson_r,embeddings,13,0.9068693137421728
bmi,ensemble,all,pearson_r,embeddings,14,0.9059190220439698
bmi,activity_tm_3kmh,all,pearson_r,embeddings,0,0.8618508793157937
bmi,activity_tm_3kmh,all,pearson_r,embeddings,1,0.8636278867494163
bmi,activity_tm_3kmh,all,pearson_r,embeddings,2,0.8609131755371972
bmi,activity_tm_3kmh,all,pearson_r,embeddings,3,0.8621973407519967
bmi,activity_tm_3kmh,all,pearson_r,embeddings,4,0.8607811784430748
bmi,activity_tm_3kmh,all,pearson_r,embeddings,5,0.8622314891678157
bmi,activity_tm_3kmh,all,pearson_r,embeddings,6,0.8631603847844723
bmi,activity_tm_3kmh,all,pearson_r,embeddings,7,0.8624818814950799
bmi,activity_tm_3kmh,all,pearson_r,embeddings,8,0.8597923008009933
bmi,activity_tm_3kmh,all,pearson_r,embeddings,9,0.8599649062340651
bmi,activity_tm_3kmh,all,pearson_r,embeddings,10,0.8603357032519668
bmi,activity_tm_3kmh,all,pearson_r,embeddings,11,0.8621575954499594
bmi,activity_tm_3kmh,all,pearson_r,embeddings,12,0.8627592037804979
bmi,activity_tm_3kmh,all,pearson_r,embeddings,13,0.8619670252473254
bmi,activity_tm_3kmh,all,pearson_r,embeddings,14,0.8619911665889425
bmi,activity_self_selected_gait_speed,all,pearson_r,embeddings,0,0.8608075983580453
bmi,activity_self_selected_gait_speed,all,pearson_r,embeddings,1,0.8612746491200397
bmi,activity_self_selected_gait_speed,all,pearson_r,embeddings,2,0.8607368006202349
bmi,activity_self_selected_gait_speed,all,pearson_r,embeddings,3,0.8613808092571903
bmi,activity_self_selected_gait_speed,all,pearson_r,embeddings,4,0.8604853078359421
bmi,activity_self_selected_gait_speed,all,pearson_r,embeddings,5,0.86153995381803
bmi,activity_self_selected_gait_speed,all,pearson_r,embeddings,6,0.8605591601172101
bmi,activity_self_selected_gait_speed,all,pearson_r,embeddings,7,0.8605763548620423
bmi,activity_self_selected_gait_speed,all,pearson_r,embeddings,8,0.8579263308445078
bmi,activity_self_selected_gait_speed,all,pearson_r,embeddings,9,0.8595450658349622
bmi,activity_self_selected_gait_speed,all,pearson_r,embeddings,10,0.8583172702961132
bmi,activity_self_selected_gait_speed,all,pearson_r,embeddings,11,0.8603559524675463
bmi,activity_self_selected_gait_speed,all,pearson_r,embeddings,12,0.8611718284964438
bmi,activity_self_selected_gait_speed,all,pearson_r,embeddings,13,0.8611807071435789
bmi,activity_self_selected_gait_speed,all,pearson_r,embeddings,14,0.8603462056267601
bmi,activity_stationary_walk,all,pearson_r,embeddings,0,0.871779506001429
bmi,activity_stationary_walk,all,pearson_r,embeddings,1,0.8673449794389212
bmi,activity_stationary_walk,all,pearson_r,embeddings,2,0.8689427225056544
bmi,activity_stationary_walk,all,pearson_r,embeddings,3,0.8685240226027213
bmi,activity_stationary_walk,all,pearson_r,embeddings,4,0.8652880347073378
bmi,activity_stationary_walk,all,pearson_r,embeddings,5,0.8649822893020205
bmi,activity_stationary_walk,all,pearson_r,embeddings,6,0.8670466500197062
bmi,activity_stationary_walk,all,pearson_r,embeddings,7,0.863882450659007
bmi,activity_stationary_walk,all,pearson_r,embeddings,8,0.8669707376927476
bmi,activity_stationary_walk,all,pearson_r,embeddings,9,0.8683984152923068
bmi,activity_stationary_walk,all,pearson_r,embeddings,10,0.8630059061297476
bmi,activity_stationary_walk,all,pearson_r,embeddings,11,0.8703396391891672
bmi,activity_stationary_walk,all,pearson_r,embeddings,12,0.8657884767980626
bmi,activity_stationary_walk,all,pearson_r,embeddings,13,0.8666139468127879
bmi,activity_stationary_walk,all,pearson_r,embeddings,14,0.8660370098047867
bmi,activity_sit_to_stand,all,pearson_r,embeddings,0,0.820569782565641
bmi,activity_sit_to_stand,all,pearson_r,embeddings,1,0.8180563122274287
bmi,activity_sit_to_stand,all,pearson_r,embeddings,2,0.8170353479915744
bmi,activity_sit_to_stand,all,pearson_r,embeddings,3,0.8163096646383035
bmi,activity_sit_to_stand,all,pearson_r,embeddings,4,0.8160525197577007
bmi,activity_sit_to_stand,all,pearson_r,embeddings,5,0.8164073119462774
bmi,activity_sit_to_stand,all,pearson_r,embeddings,6,0.8205004526814333
bmi,activity_sit_to_stand,all,pearson_r,embeddings,7,0.8125718006658375
bmi,activity_sit_to_stand,all,pearson_r,embeddings,8,0.8149834668578503
bmi,activity_sit_to_stand,all,pearson_r,embeddings,9,0.8211612199529122
bmi,activity_sit_to_stand,all,pearson_r,embeddings,10,0.8157446986605479
bmi,activity_sit_to_stand,all,pearson_r,embeddings,11,0.817683504366694
bmi,activity_sit_to_stand,all,pearson_r,embeddings,12,0.817987762622186
bmi,activity_sit_to_stand,all,pearson_r,embeddings,13,0.8185339115204971
bmi,activity_sit_to_stand,all,pearson_r,embeddings,14,0.8161466566088692
bmi,activity_romberg_closed,all,pearson_r,embeddings,0,0.8374448882383568
bmi,activity_romberg_closed,all,pearson_r,embeddings,1,0.8350945130355398
bmi,activity_romberg_closed,all,pearson_r,embeddings,2,0.8352261175289635
bmi,activity_romberg_closed,all,pearson_r,embeddings,3,0.8339716436118976
bmi,activity_romberg_closed,all,pearson_r,embeddings,4,0.8292506608438774
