target,setting,source,model,gender,metric,seed,value
liver_elasticity,full,clinical,lgbm,female,pearson_r,4,0.13994546687226062
liver_elasticity,full,clinical,lgbm,female,pearson_r,5,0.1397358567494839
liver_elasticity,full,clinical,lgbm,female,pearson_r,6,0.13763143691268637
liver_elasticity,full,clinical,lgbm,female,pearson_r,7,0.14323216364918792
liver_elasticity,full,clinical,lgbm,female,pearson_r,8,0.1411987597805932
liver_elasticity,full,clinical,lgbm,female,pearson_r,9,0.14313716645306307
liver_elasticity,full,clinical,lgbm,female,pearson_r,10,0.15081085453905527
liver_elasticity,full,clinical,lgbm,female,pearson_r,11,0.14397856063296854
liver_elasticity,full,clinical,lgbm,female,pearson_r,12,0.1501318852714566
liver_elasticity,full,clinical,lgbm,female,pearson_r,13,0.14058682193453448
liver_elasticity,full,clinical,lgbm,female,pearson_r,14,0.14399710050387066
liver_elasticity,full,clinical,lgbm,overall,pearson_r,0,0.2532975786579818
liver_elasticity,full,clinical,lgbm,overall,pearson_r,1,0.24206154044203915
liver_elasticity,full,clinical,lgbm,overall,pearson_r,2,0.2543575109762331
liver_elasticity,full,clinical,lgbm,overall,pearson_r,3,0.2357688251020523
liver_elasticity,full,clinical,lgbm,overall,pearson_r,4,0.2410674529652458
liver_elasticity,full,clinical,lgbm,overall,pearson_r,5,0.25044812947367323
liver_elasticity,full,clinical,lgbm,overall,pearson_r,6,0.2393260752987811
liver_elasticity,full,clinical,lgbm,overall,pearson_r,7,0.24225800086949567
liver_elasticity,full,clinical,lgbm,overall,pearson_r,8,0.24582180673958762
liver_elasticity,full,clinical,lgbm,overall,pearson_r,9,0.24525429633280404
liver_elasticity,full,clinical,lgbm,overall,pearson_r,10,0.2394820263295543
liver_elasticity,full,clinical,lgbm,overall,pearson_r,11,0.24175451132195744
liver_elasticity,full,clinical,lgbm,overall,pearson_r,12,0.24843239221087687
liver_elasticity,full,clinical,lgbm,overall,pearson_r,13,0.23122002541488534
liver_elasticity,full,clinical,lgbm,overall,pearson_r,14,0.24352329009657492
liver_elasticity,full,clinical,ridge,male,pearson_r,0,0.14467120082471807
