system,label,model,sub_model,n_subjects_all,n_subjects_male,n_subjects_female,n_subjects_unknown_sex,n_observations_all,n_observations_male,n_observations_female
body_composition,body_comp_trunk_right_fat_free_mass,gait_no_room_A,ensemble,2705,1329,1376,0,2705,1329,1376
body_composition,body_comp_trunk_right_fat_mass,gait_no_room_A,ensemble,2705,1329,1376,0,2705,1329,1376
body_composition,body_comp_trunk_right_lean_mass,gait_no_room_A,ensemble,2705,1329,1376,0,2705,1329,1376
body_composition,body_comp_trunk_right_tissue_mass,gait_no_room_A,ensemble,2705,1329,1376,0,2705,1329,1376
body_composition,body_comp_trunk_right_total_mass,gait_no_room_A,ensemble,2705,1329,1376,0,2705,1329,1376
body_composition,body_comp_trunk_tissue_mass,gait_no_room_A,ensemble,2705,1329,1376,0,2705,1329,1376
body_composition,body_comp_trunk_total_mass,gait_no_room_A,ensemble,2705,1329,1376,0,2705,1329,1376
body_composition,height,gait_no_room_A,ensemble,2769,1348,1421,0,2769,1348,1421
body_composition,hips,gait_no_room_A,ensemble,2769,1348,1421,0,2769,1348,1421
body_composition,total_scan_sat_area,gait_no_room_A,ensemble,2702,1328,1374,0,2702,1328,1374
body_composition,total_scan_sat_mass,gait_no_room_A,ensemble,2702,1328,1374,0,2702,1328,1374
body_composition,total_scan_sat_volume,gait_no_room_A,ensemble,2702,1328,1374,0,2702,1328,1374
body_composition,total_scan_vat_area,gait_no_room_A,ensemble,2695,1328,1367,0,2695,1328,1367
body_composition,total_scan_vat_mass,gait_no_room_A,ensemble,2695,1328,1367,0,2695,1328,1367
body_composition,total_scan_vat_volume,gait_no_room_A,ensemble,2695,1328,1367,0,2695,1328,1367
body_composition,waist,gait_no_room_A,ensemble,2769,1348,1421,0,2769,1348,1421
body_composition,weight,gait_no_room_A,ensemble,2769,1348,1421,0,2769,1348,1421
bone_density,body_arm_left_area,gait_no_room_A,ensemble,2707,1330,1377,0,2707,1330,1377
bone_density,body_arm_left_bmc,gait_no_room_A,ensemble,2707,1330,1377,0,2707,1330,1377
bone_density,body_arm_left_bmd,gait_no_room_A,ensemble,2707,1330,1377,0,2707,1330,1377
bone_density,body_arm_right_area,gait_no_room_A,ensemble,2707,1330,1377,0,2707,1330,1377
bone_density,body_arm_right_bmc,gait_no_room_A,ensemble,2707,1330,1377,0,2707,1330,1377
bone_density,body_arm_right_bmd,gait_no_room_A,ensemble,2707,1330,1377,0,2707,1330,1377
bone_density,body_arms_area,gait_no_room_A,ensemble,2707,1330,1377,0,2707,1330,1377
bone_density,body_arms_bmc,gait_no_room_A,ensemble,2707,1330,1377,0,2707,1330,1377
bone_density,body_arms_bmd,gait_no_room_A,ensemble,2707,1330,1377,0,2707,1330,1377
bone_density,body_head_area,gait_no_room_A,ensemble,2707,1330,1377,0,2707,1330,1377
bone_density,body_head_bmc,gait_no_room_A,ensemble,2707,1330,1377,0,2707,1330,1377
bone_density,body_head_bmd,gait_no_room_A,ensemble,2707,1330,1377,0,2707,1330,1377
bone_density,body_leg_left_area,gait_no_room_A,ensemble,2707,1330,1377,0,2707,1330,1377
bone_density,body_leg_left_bmc,gait_no_room_A,ensemble,2707,1330,1377,0,2707,1330,1377
bone_density,body_leg_left_bmd,gait_no_room_A,ensemble,2707,1330,1377,0,2707,1330,1377
bone_density,body_leg_right_area,gait_no_room_A,ensemble,2707,1330,1377,0,2707,1330,1377
bone_density,body_leg_right_bmc,gait_no_room_A,ensemble,2707,1330,1377,0,2707,1330,1377
bone_density,body_leg_right_bmd,gait_no_room_A,ensemble,2707,1330,1377,0,2707,1330,1377
bone_density,body_legs_area,gait_no_room_A,ensemble,2707,1330,1377,0,2707,1330,1377
bone_density,body_legs_bmc,gait_no_room_A,ensemble,2707,1330,1377,0,2707,1330,1377
