target,activity,gender,metric,mean,std
total_scan_vat_area,activity_sit_to_stand,all,pearson_r,0.708165050552487,0.0019949165736421535
total_scan_vat_area,activity_sit_to_stand,male,pearson_r,0.6873082175318993,0.0034757282936506255
total_scan_vat_area,activity_sit_to_stand,female,pearson_r,0.6754373629649272,0.0035263386280691743
total_scan_vat_area,activity_romberg_closed,all,pearson_r,0.7333639441277512,0.002014650997182699
total_scan_vat_area,activity_romberg_closed,male,pearson_r,0.7195150872868922,0.0015628755753337147
total_scan_vat_area,activity_romberg_closed,female,pearson_r,0.7204643180578421,0.0029498890305678957
total_scan_vat_area,gait,all,pearson_r,0.5610024360939972,0.006767195343633198
total_scan_vat_area,gait,male,pearson_r,0.5178756914073347,0.009743354516608712
total_scan_vat_area,gait,female,pearson_r,0.4669853819927334,0.006791342307302328
gender,ensemble,all,auc,0.9970938062888243,0.00012756345737578817
gender,activity_tm_3kmh,all,auc,0.9854805848206265,0.0005404366415492456
gender,activity_self_selected_gait_speed,all,auc,0.9840919164204305,0.0006703161239265992
gender,activity_stationary_walk,all,auc,0.9750118466645634,0.0005150246796850525
gender,activity_sit_to_stand,all,auc,0.97937776246723,0.0008054551204030779
gender,activity_romberg_closed,all,auc,0.9099341418883673,0.0009603605008096946
gender,gait,all,auc,0.9610763241130995,0.0008525914444859786
