sex,stratum_type,stratum,body_system,n_features,n_features_with_data,n_participants_in_band,median_delta_r,dispersion_across_features,dispersion_across_splits
M,age,50–65,bone_density,159,159,791,0.025968071142768317,0.033741930252660396,0.004549986570723769
M,age,50–65,cardiovascular_system,40,40,770,0.03562367190386259,0.039181984091725325,0.01232777157868596
M,age,50–65,frailty,7,7,796,0.07953970451643215,0.04551570499369939,0.0025492272992593762
M,age,50–65,glycemic_status,3,3,675,0.006384424971696897,0.04119804437185024,0.011361708246898049
M,age,50–65,hematopoietic,2,2,801,0.07847211653218836,0.09819364281809405,0.01233205384382029
M,age,50–65,high_level_diet_with_stage,33,33,790,0.001065187552725415,0.02929336401149947,0.01329966310550487
M,age,50–65,immune_system,5,5,801,-0.018809136966627064,0.03887886622277559,0.014578105193200882
M,age,50–65,lifestyle_group,13,13,705,0.044050673709108396,0.029297917049110687,0.020179818850523664
M,age,50–65,liver,4,4,798,0.033417252477372705,0.01432162104056155,0.0066814565975996856
M,age,50–65,mental,2,2,760,0.05854525819808093,0.026604582640622793,0.020586869217305747
M,age,50–65,metabolites,307,307,573,0.04625234186394836,0.05211518484903099,0.02345523314304356
M,age,50–65,microbiome,77,77,792,0.02636929724644014,0.0448043646872898,0.01782715571292236
M,age,50–65,nightingale,136,136,456,0.04427644528547935,0.03506231316216034,0.01587218076377252
M,age,50–65,renal_function,1,1,686,-0.012679147015978684,,0.01670974746137244
M,age,50–65,sleep_group,11,11,770,0.03267910590290584,0.03150077734871297,0.015217482642980937
M,age,<50,anthropometric_group,3,3,624,0.0059664645456469325,0.00611901411893373,0.0006325690979003747
M,age,<50,blood_tests_lipids,4,4,424,0.00038243213284622386,0.02578546776449241,0.012844759402078403
M,age,<50,body_composition,97,97,607,0.0222660081711897,0.024608413631782424,0.0013349028896653564
M,age,<50,bone_density,159,159,566,0.01624911633188469,0.034745473577184924,0.00439578663392479
M,age,<50,cardiovascular_system,40,40,592,0.03784801636034996,0.06678474910918482,0.018254549790274546
M,age,<50,frailty,7,7,607,0.02550563284110531,0.03772868884601986,0.0023333285887815036
M,age,<50,glycemic_status,3,3,415,0.06316356675686925,0.018578059402427502,0.018078393166888255
M,age,<50,hematopoietic,2,2,620,0.08327436737089718,0.05382303414498178,0.018028654796104913
M,age,<50,high_level_diet_with_stage,33,33,594,0.04493981250304986,0.026002993987003637,0.016055319724022844
M,age,<50,immune_system,5,5,620,0.008647222491714047,0.017769596974979065,0.01855235387918761
M,age,<50,lifestyle_group,13,13,499,0.06966663077264416,0.061560612171179835,0.022700625150663845
M,age,<50,liver,4,4,620,0.008273848299743319,0.04128115090394034,0.007008597971650603
M,age,<50,mental,2,2,545,0.0711111344640903,0.09843285970627065,0.021237945339692598
M,age,<50,metabolites,307,307,336,0.051301749017150136,0.07350992073955252,0.02977419862467652
M,age,<50,microbiome,77,77,602,0.028793310291674902,0.03498693547292967,0.019745851621803766
M,age,<50,nightingale,136,136,232,0.04491333246792735,0.03885953499581754,0.023944304496263766
M,age,<50,renal_function,1,1,442,0.032345520835366466,,0.021897154690610068
M,age,<50,sleep_group,11,11,545,0.023894557014782398,0.045663682081655124,0.018769853401924046
M,age,≥65,anthropometric_group,3,3,185,0.019693112114621058,0.006068843316833679,0.0014371733170242824
M,age,≥65,blood_tests_lipids,4,4,154,0.03225770807057948,0.029229373113644545,0.034282761024305865
M,age,≥65,body_composition,97,97,182,0.03061695627961077,0.04263001973119525,0.0030531577677283517
M,age,≥65,bone_density,159,159,182,0.03016667155415921,0.044321836971198285,0.009932453881296802
M,age,≥65,cardiovascular_system,40,40,180,0.02656308866882752,0.06530842688855065,0.02790733570611649
M,age,≥65,frailty,7,7,182,0.044519140933131626,0.04950237993032528,0.00655114938833807
M,age,≥65,glycemic_status,3,3,153,-0.05289031774208095,0.06676233543837358,0.03118766868569121
M,age,≥65,hematopoietic,2,2,185,0.060504019911302206,0.07989531937069783,0.028607362755010954
M,age,≥65,high_level_diet_with_stage,33,33,182,0.02755055086682856,0.04968196450395567,0.02612259398223105
M,age,≥65,immune_system,5,5,185,0.08812060360640692,0.09032991639722672,0.031741479463287314
M,age,≥65,lifestyle_group,13,13,168,0.07030431232911515,0.05286800511976286,0.041358312816030564
M,age,≥65,liver,4,4,184,0.05011047483144687,0.05080213707637542,0.02312472532043083
M,age,≥65,mental,2,2,180,0.14517936752789182,0.03476046401203128,0.041982108080373684
M,age,≥65,metabolites,307,307,143,0.06833807748744586,0.09501848875739667,0.046837553341531585
