system,label,score_type,score,delta,is_better,is_significant,model,sub_model,baseline_model,baseline_score,gender,label_type,score_pvalue,wilcox_pvalue,n_seeds,n_subjects,n_positive,wilcox_pvalue_fdr,gait_std,baseline_std
medical_conditions,Anal Fissure,auc,0.4837021018134733,0.0367638898471153,True,1.0,long_seq,activity_romberg_closed,Age_Gender_BMI_height_VAT,0.4469382119663579,male,categorical,,0.0009765625,10,3504,90,0.0071149553571428,0.009814954801155,0.0144075211551817
medical_conditions,Urinary tract infection,auc,0.5003489239006427,0.0343605469037298,True,1.0,long_seq,activity_romberg_closed,Age_Gender_BMI_height_VAT,0.4659883769969128,female,categorical,,0.0009765625,10,3504,305,0.0060221354166666,0.0166718663496587,0.015987121240076
medical_conditions,Retinal detachment,auc,0.56440329218107,0.0289003519148984,True,0.0,long_seq,activity_romberg_closed,Age_Gender_BMI_height_VAT,0.5355029402661715,female,categorical,,0.0322265625,10,3504,17,0.1430859375,0.0379790350996661,0.0161555942680954
medical_conditions,Peptic Ulcer Disease,auc,0.5594115861590495,0.0214117152968396,True,0.0,long_seq,activity_romberg_closed,Age_Gender_BMI_height_VAT,0.5379998708622099,female,categorical,,0.080078125,10,3504,25,0.3292100694444444,0.0576548931757471,0.0268888635609535
medical_conditions,B12 Deficiency,auc,0.5406043950191204,0.0210757004012197,True,1.0,long_seq,activity_romberg_closed,Age_Gender_BMI_height_VAT,0.5195286946179006,male,categorical,,0.001953125,10,3504,54,0.01171875,0.0140706598902983,0.0196752480138405
medical_conditions,Fibromyalgia,auc,0.4681880643894778,0.0180853045538936,True,0.0,long_seq,activity_romberg_closed,Age_Gender_BMI_height_VAT,0.4501027598355842,male,categorical,,0.7216796875,10,3504,6,1.0,0.0760848616425651,0.0596094462974425
medical_conditions,IBS,auc,0.6433270024772916,0.0133458533911511,True,1.0,long_seq,activity_romberg_closed,Age_Gender_BMI_height_VAT,0.6299811490861404,female,categorical,,0.0048828125,10,3504,70,0.0235648777173913,0.0133236110111397,0.0072660065973877
medical_conditions,Anal abscess,auc,0.4617560353756672,0.0103322100315761,True,0.0,long_seq,activity_romberg_closed,Age_Gender_BMI_height_VAT,0.4514238253440911,female,categorical,,0.24609375,10,3504,7,0.9755859375,0.0402043603993292,0.0566867473888183
medical_conditions,Anxiety,auc,0.4819126506024096,0.0088946325843915,True,0.0,long_seq,activity_romberg_closed,Age_Gender_BMI_height_VAT,0.473018018018018,male,categorical,,0.1875,10,3504,44,0.7083333333333334,0.0262136903871558,0.0086124880923315
medical_conditions,Osteoarthritis,auc,0.6554999147630413,0.0087101637644859,True,0.0,long_seq,activity_romberg_closed,Age_Gender_BMI_height_VAT,0.6467897509985553,male,categorical,,0.013671875,10,3504,28,0.0606317934782608,0.0165848083310517,0.0105506654479312
medical_conditions,G6PD,auc,0.4195690970695496,0.0070903720192633,True,0.0,long_seq,activity_romberg_closed,Age_Gender_BMI_height_VAT,0.4124787250502862,male,categorical,,0.3125,10,3504,22,1.0,0.0287736964208976,0.0366963011816688
medical_conditions,Psoriasis,auc,0.5488376232201533,0.0060438198013498,True,0.0,long_seq,activity_romberg_closed,Age_Gender_BMI_height_VAT,0.5427938034188035,male,categorical,,0.1376953125,10,3504,44,0.5401893028846154,0.0222863479937866,0.0162235819189978
medical_conditions,Diabetes,auc,0.5326025788456362,0.0060225448402925,True,0.0,long_seq,activity_romberg_closed,Age_Gender_BMI_height_VAT,0.5265800340053437,female,categorical,,0.4228515625,10,3504,22,1.0,0.0219934611287301,0.0293866771655263
medical_conditions,Renal Stones,auc,0.5318763919821826,0.0043611902132495,True,0.0,long_seq,activity_romberg_closed,Age_Gender_BMI_height_VAT,0.5275152017689331,female,categorical,,0.5771484375,10,3504,4,1.0,0.108214981578772,0.1182402272483132
medical_conditions,Lactose Intolerance,auc,0.6143011385944248,0.0035847557406374,True,0.0,long_seq,activity_romberg_closed,Age_Gender_BMI_height_VAT,0.6107163828537874,male,categorical,,0.5390625,10,3504,6,1.0,0.0483511313002634,0.0418558267854607
medical_conditions,Thalassemia,auc,0.3977336246760505,0.0023799772136351,True,0.0,long_seq,activity_romberg_closed,Age_Gender_BMI_height_VAT,0.3953536474624154,female,categorical,,0.5,10,3504,9,1.0,0.0110877941620764,0.0539248610981365
medical_conditions,Tinnitus,auc,0.4646816037735848,0.0016304573891052,True,0.0,long_seq,activity_romberg_closed,Age_Gender_BMI_height_VAT,0.4630511463844796,male,categorical,,0.5390625,10,3504,8,1.0,0.0622817173796449,0.0367533759859406
