activity,gender,target,duration_seconds,pearson_r,source
tm_3kmh,all,total_scan_vat_area,2,0.7403068233967146,duration
tm_3kmh,all,total_scan_vat_area,2,0.7412137235643912,duration
tm_3kmh,all,total_scan_vat_area,5,0.7458695490291237,duration
tm_3kmh,all,total_scan_vat_area,5,0.746399117014251,duration
tm_3kmh,all,total_scan_vat_area,5,0.7517956486774469,duration
tm_3kmh,all,total_scan_vat_area,5,0.7490222833992858,duration
tm_3kmh,all,total_scan_vat_area,5,0.7470534412220168,duration
tm_3kmh,all,total_scan_vat_area,5,0.7504378330386272,duration
tm_3kmh,all,total_scan_vat_area,5,0.7469268462780998,duration
tm_3kmh,all,total_scan_vat_area,5,0.7482443750301221,duration
tm_3kmh,all,total_scan_vat_area,5,0.7489902391792385,duration
tm_3kmh,all,total_scan_vat_area,5,0.7479124570576198,duration
tm_3kmh,all,total_scan_vat_area,10,0.754327486601884,duration
tm_3kmh,all,total_scan_vat_area,10,0.7514868492618699,duration
tm_3kmh,all,total_scan_vat_area,10,0.7593283896320089,duration
tm_3kmh,all,total_scan_vat_area,10,0.7541548411711675,duration
tm_3kmh,all,total_scan_vat_area,10,0.7528958487107253,duration
tm_3kmh,all,total_scan_vat_area,10,0.7563122643589734,duration
tm_3kmh,all,total_scan_vat_area,10,0.7526840777749408,duration
tm_3kmh,all,total_scan_vat_area,10,0.7559906761064319,duration
tm_3kmh,all,total_scan_vat_area,10,0.7545639274167356,duration
tm_3kmh,all,total_scan_vat_area,10,0.7537827294091577,duration
tm_3kmh,all,total_scan_vat_area,15,0.7586873276157978,duration
tm_3kmh,all,total_scan_vat_area,15,0.7584335607892954,duration
tm_3kmh,all,total_scan_vat_area,15,0.7653783225516082,duration
tm_3kmh,all,total_scan_vat_area,15,0.7614648781736164,duration
tm_3kmh,all,total_scan_vat_area,15,0.759892610197485,duration
tm_3kmh,all,total_scan_vat_area,15,0.7628336686363201,duration
tm_3kmh,all,total_scan_vat_area,15,0.75991209903094,duration
tm_3kmh,all,total_scan_vat_area,15,0.7623757905463137,duration
tm_3kmh,all,total_scan_vat_area,15,0.7614683507292473,duration
tm_3kmh,all,total_scan_vat_area,15,0.7603896941641289,duration
tm_3kmh,all,total_scan_vat_area,30,0.7609849251203616,duration
tm_3kmh,all,total_scan_vat_area,30,0.7629949175465808,duration
tm_3kmh,all,total_scan_vat_area,30,0.7710701419081878,duration
tm_3kmh,all,total_scan_vat_area,30,0.7656630765961224,duration
tm_3kmh,all,total_scan_vat_area,30,0.7650682933553684,duration
tm_3kmh,all,total_scan_vat_area,30,0.7675379962898671,duration
tm_3kmh,all,total_scan_vat_area,30,0.7639909709410316,duration
tm_3kmh,all,total_scan_vat_area,30,0.7674278199389357,duration
tm_3kmh,all,total_scan_vat_area,30,0.7636293007020977,duration
tm_3kmh,all,total_scan_vat_area,30,0.7649713297932998,duration
tm_3kmh,all,total_scan_vat_area,60,0.7583072884366108,duration
tm_3kmh,all,total_scan_vat_area,60,0.7642457161635144,duration
tm_3kmh,all,total_scan_vat_area,60,0.7701079354461629,duration
tm_3kmh,all,total_scan_vat_area,60,0.7647949854362024,duration
tm_3kmh,all,total_scan_vat_area,60,0.7649609942130945,duration
tm_3kmh,all,total_scan_vat_area,60,0.7660213898073681,duration
tm_3kmh,all,total_scan_vat_area,60,0.7613007859774545,duration
tm_3kmh,all,total_scan_vat_area,60,0.7638106451190352,duration
tm_3kmh,all,total_scan_vat_area,60,0.7641141754129637,duration
tm_3kmh,all,total_scan_vat_area,60,0.7627998332609336,duration
tm_3kmh,all,total_scan_vat_area,180,0.8028413682011064,long_seq_180
tm_3kmh,all,total_scan_vat_area,180,0.805615510395109,long_seq_180
tm_3kmh,all,total_scan_vat_area,180,0.8101827059121054,long_seq_180
tm_3kmh,all,total_scan_vat_area,180,0.8052907029182934,long_seq_180
tm_3kmh,all,total_scan_vat_area,180,0.8068572186824723,long_seq_180
tm_3kmh,all,total_scan_vat_area,180,0.8092253206723858,long_seq_180
tm_3kmh,all,total_scan_vat_area,180,0.805161369571283,long_seq_180
tm_3kmh,all,total_scan_vat_area,180,0.8080705436337029,long_seq_180
tm_3kmh,all,total_scan_vat_area,180,0.804024624592081,long_seq_180
tm_3kmh,all,total_scan_vat_area,180,0.805524762534895,long_seq_180
tm_3kmh,all,total_scan_vat_area,180,0.8056997778920709,long_seq_180
tm_3kmh,all,total_scan_vat_area,180,0.8064772660956843,long_seq_180
tm_3kmh,all,total_scan_vat_area,180,0.8066487129642658,long_seq_180
tm_3kmh,all,total_scan_vat_area,180,0.8039441221981253,long_seq_180
tm_3kmh,all,total_scan_vat_area,180,0.8056284641170796,long_seq_180
tm_3kmh,all,hr_bpm,2,0.241322380246128,duration
tm_3kmh,all,hr_bpm,2,0.2323587334011189,duration
tm_3kmh,all,hr_bpm,2,0.2312442758010002,duration
tm_3kmh,all,hr_bpm,2,0.2439924158226083,duration
tm_3kmh,all,hr_bpm,2,0.2378410129774808,duration
tm_3kmh,all,hr_bpm,2,0.2345003764288238,duration
tm_3kmh,all,hr_bpm,2,0.2340967154482703,duration
tm_3kmh,all,hr_bpm,2,0.2364738459548352,duration
tm_3kmh,all,hr_bpm,2,0.2318908438792425,duration
tm_3kmh,all,hr_bpm,2,0.23926830667418,duration
tm_3kmh,all,hr_bpm,5,0.2579244069202786,duration
tm_3kmh,all,hr_bpm,5,0.2419702792776649,duration
tm_3kmh,all,hr_bpm,5,0.2486748834569049,duration
tm_3kmh,all,hr_bpm,5,0.248804903269326,duration
tm_3kmh,all,hr_bpm,5,0.2492543492268435,duration
tm_3kmh,all,hr_bpm,5,0.2462023094388137,duration
tm_3kmh,all,hr_bpm,5,0.2441784316428205,duration
tm_3kmh,all,hr_bpm,5,0.2498385753060777,duration
tm_3kmh,all,hr_bpm,5,0.2533298144118899,duration
tm_3kmh,all,hr_bpm,5,0.2499025395386929,duration
tm_3kmh,all,hr_bpm,10,0.2549612584731368,duration
tm_3kmh,all,hr_bpm,10,0.241119915812954,duration
tm_3kmh,all,hr_bpm,10,0.2560954062460804,duration
tm_3kmh,all,hr_bpm,10,0.2480432378870713,duration
tm_3kmh,all,hr_bpm,10,0.2572278051125967,duration
tm_3kmh,all,hr_bpm,10,0.2440483423100386,duration
tm_3kmh,all,hr_bpm,10,0.2444179201391425,duration
tm_3kmh,all,hr_bpm,10,0.2370408924617445,duration
tm_3kmh,all,hr_bpm,10,0.2349528873967646,duration
tm_3kmh,all,hr_bpm,10,0.2498655874001387,duration
tm_3kmh,all,hr_bpm,15,0.2536287470677752,duration
tm_3kmh,all,hr_bpm,15,0.2498550056444186,duration
tm_3kmh,all,hr_bpm,15,0.2537888064226133,duration
tm_3kmh,all,hr_bpm,15,0.245380365713852,duration
tm_3kmh,all,hr_bpm,15,0.2570398024438655,duration
tm_3kmh,all,hr_bpm,15,0.2486962207939907,duration
tm_3kmh,all,hr_bpm,15,0.2438635973385313,duration
tm_3kmh,all,hr_bpm,15,0.2422687667387243,duration
tm_3kmh,all,hr_bpm,15,0.2390155253323438,duration
tm_3kmh,all,hr_bpm,15,0.2515204007447721,duration
tm_3kmh,all,hr_bpm,30,0.2422773417944586,duration
tm_3kmh,all,hr_bpm,30,0.2506677379156533,duration
tm_3kmh,all,hr_bpm,30,0.2470784968086896,duration
tm_3kmh,all,hr_bpm,30,0.2472699415179742,duration
tm_3kmh,all,hr_bpm,30,0.2608821946473205,duration
tm_3kmh,all,hr_bpm,30,0.2414077663925601,duration
tm_3kmh,all,hr_bpm,30,0.2457612626563445,duration
tm_3kmh,all,hr_bpm,30,0.2393657828200238,duration
tm_3kmh,all,hr_bpm,30,0.2433854170780157,duration
tm_3kmh,all,hr_bpm,30,0.2516337959973107,duration
tm_3kmh,all,hr_bpm,60,0.2372104130739178,duration
tm_3kmh,all,hr_bpm,60,0.2129302949164221,duration
tm_3kmh,all,hr_bpm,60,0.2123530452947677,duration
