system,endpoint,gender,seed_idx,baseline_auc,gait_auc
medical_conditions,B12 Deficiency,male,7,0.5500224618149147,0.5250898472596586
medical_conditions,B12 Deficiency,male,8,0.5545092093441151,0.5131738544474393
medical_conditions,B12 Deficiency,male,9,0.5426100628930818,0.5219564240790656
medical_conditions,Psoriasis,female,0,0.5,0.5720830477930912
medical_conditions,Psoriasis,female,1,0.5,0.5982385339729435
medical_conditions,Psoriasis,female,2,0.5,0.5997106525546333
medical_conditions,Psoriasis,female,3,0.5,0.5843168608340313
medical_conditions,Psoriasis,female,4,0.5,0.6099266478844642
medical_conditions,Psoriasis,female,5,0.5,0.6173253128251986
medical_conditions,Psoriasis,female,6,0.5,0.6254854184116349
medical_conditions,Psoriasis,female,7,0.5,0.5969187035203939
medical_conditions,Psoriasis,female,8,0.5,0.565928069240336
medical_conditions,Psoriasis,female,9,0.5,0.6198126856011574
medical_conditions,Perimenopausal Disorders,female,0,0.5,0.4723895582329317
medical_conditions,Perimenopausal Disorders,female,1,0.5908275960986804,0.5992183017785427
medical_conditions,Perimenopausal Disorders,female,2,0.563916379804934,0.6115174985656913
medical_conditions,Perimenopausal Disorders,female,3,0.5939651462994837,0.5444635685599541
medical_conditions,Perimenopausal Disorders,female,4,0.5731497418244407,0.6422117039586919
medical_conditions,Perimenopausal Disorders,female,5,0.5735979632816982,0.5925487664945496
medical_conditions,Perimenopausal Disorders,female,6,0.5476549053356282,0.6299842226047045
medical_conditions,Perimenopausal Disorders,female,7,0.5,0.5328815261044177
medical_conditions,Perimenopausal Disorders,female,8,0.5585018646012622,0.5900387263339071
medical_conditions,Perimenopausal Disorders,female,9,0.5891602122776821,0.6052782558806655
medical_conditions,Peptic Ulcer Disease,female,0,0.5,0.5761463003240268
medical_conditions,Peptic Ulcer Disease,female,1,0.5471725331794576,0.6280127835234586
medical_conditions,Peptic Ulcer Disease,female,2,0.5539082959740779,0.6418394069865506
medical_conditions,Peptic Ulcer Disease,female,3,0.5512006746859603,0.5966088153047183
