endpoint,system,gender,seed,n,n_positive,prevalence,sex_specific_auc_filter_score,min_sex_specific_auc_required,baseline_auc_selected,gait_auc_selected,delta_auc_selected,auc_selection_fdr,baseline_features,gait_model,ppv_base_top2,ppv_gait_top2,sens_base_top2,sens_gait_top2,delta_sens_top2,fold_change_sens_top2,spec_base_top2,spec_gait_top2,delta_spec_top2,extra_cases_per_1000_top2,ppv_base_top5,ppv_gait_top5,sens_base_top5,sens_gait_top5,delta_sens_top5,fold_change_sens_top5,spec_base_top5,spec_gait_top5,delta_spec_top5,extra_cases_per_1000_top5,ppv_base_top10,ppv_gait_top10,sens_base_top10,sens_gait_top10,delta_sens_top10,fold_change_sens_top10,spec_base_top10,spec_gait_top10,delta_spec_top10,extra_cases_per_1000_top10,ppv_base_top20,ppv_gait_top20,sens_base_top20,sens_gait_top20,delta_sens_top20,fold_change_sens_top20,spec_base_top20,spec_gait_top20,delta_spec_top20,extra_cases_per_1000_top20,nb_base_0.02,nb_gait_0.02,delta_nb_0.02,nb_base_0.04,nb_gait_0.04,delta_nb_0.04,nb_base_0.06,nb_gait_0.06,delta_nb_0.06,nb_base_0.08,nb_gait_0.08,delta_nb_0.08,nb_base_0.10,nb_gait_0.10,delta_nb_0.10,nb_base_0.12,nb_gait_0.12,delta_nb_0.12,nb_base_0.14,nb_gait_0.14,delta_nb_0.14,nb_base_0.16,nb_gait_0.16,delta_nb_0.16,nb_base_0.18,nb_gait_0.18,delta_nb_0.18,nb_base_0.20,nb_gait_0.20,delta_nb_0.20,nb_base_0.22,nb_gait_0.22,delta_nb_0.22,nb_base_0.24,nb_gait_0.24,delta_nb_0.24,nb_base_0.26,nb_gait_0.26,delta_nb_0.26,nb_base_0.28,nb_gait_0.28,delta_nb_0.28,nb_base_0.30,nb_gait_0.30,delta_nb_0.30,display_endpoint
IRONANTIANEMICPREPARATIONS,medications,female,4,1759,48,0.028425241614553724,0.5464811678981938,0.52,0.5021164423639555,0.5464811678981938,0.0443647255342383,0.00537109375,age + BMI + height,age + BMI + height + gait embedding score,0.02857142857142857,0.0,0.02,0.0,-0.02,0.0,0.9801053247513165,0.9795201872440024,-0.0005851375073141485,-0.5685048322910744,0.022727272727272728,0.022727272727272728,0.04,0.04,0.0,1.0,0.9496781743709772,0.9496781743709772,0.0,0.0,0.022727272727272728,0.045454545454545456,0.08,0.16,0.08,2.0,0.8993563487419544,0.9016968987712113,0.002340550029256927,2.2740193291642976,0.03409090909090909,0.03977272727272727,0.24,0.28,0.040000000000000036,1.1666666666666667,0.8010532475131656,0.802223522527794,0.001170275014628408,1.1370096645821488,0.007715422723950295,0.007901056954902484,0.18563423095218842,-0.0005211294296001518,-0.0005685048322910755,-0.04737540269092368,0.0,-0.0030723452638709127,-3.0723452638709126,0.0,-0.00207627851793262,-2.0762785179326197,0.0,-0.004042701029625418,-4.042701029625418,0.0,-0.003488552379967957,-3.488552379967957,0.0,-0.0031466081415180407,-3.146608141518041,0.0,-0.002490592598608517,-2.4905925986085173,0.0,-0.0019966998987784074,-1.9966998987784075,0.0,-0.0009948834565093804,-0.9948834565093805,0.0,-0.0004810425504001399,-0.4810425504001399,0.0,-0.0003590556835522575,-0.3590556835522575,0.0,-0.0003994898821504848,-0.3994898821504848,0.0,-0.0004421704251152802,-0.4421704251152802,0.0,-0.0002436449281247462,-0.2436449281247462,IRONANTIANEMICPREPARATIONS
IRONANTIANEMICPREPARATIONS,medications,female,5,1759,48,0.028425241614553724,0.5464811678981938,0.52,0.5021164423639555,0.5464811678981938,0.0443647255342383,0.00537109375,age + BMI + height,age + BMI + height + gait embedding score,0.0,0.0,0.0,0.0,0.0,,0.9795201872440024,0.9795201872440024,0.0,0.0,0.011363636363636364,0.022727272727272728,0.02,0.04,0.02,2.0,0.949093036863663,0.9496781743709772,0.0005851375073142595,0.5685048322910744,0.022727272727272728,0.03409090909090909,0.08,0.12,0.039999999999999994,1.5,0.8993563487419544,0.9005266237565828,0.001170275014628408,1.1370096645821488,0.02556818181818182,0.048295454545454544,0.18,0.34,0.16000000000000003,1.888888888888889,0.799297834991223,0.8039789350497367,0.004681100058513743,4.548038658328595,0.008260723277372348,0.006578413059368149,-1.682310218004199,-0.0011606973659276105,0.0010659465605457642,2.226643926473375,-3.628754248666432e-05,-0.002249827634173188,-2.2135400916865238,0.0,-0.003880663420421683,-3.880663420421683,0.0,-0.004421704251152802,-4.421704251152802,0.0,-0.0033335056075249367,-3.3335056075249367,0.0,-0.0025913243518383864,-2.5913243518383866,0.0,-0.0021657326944421887,-2.165732694442189,0.0,-0.0017471124114311067,-1.7471124114311067,0.0,-0.0011370096645821489,-1.1370096645821488,0.0,-0.0006413900672001865,-0.6413900672001865,0.0,-0.00017952784177612875,-0.17952784177612874,0.0,-0.0001997449410752424,-0.1997449410752424,0.0,-0.0002210852125576401,-0.2210852125576401,0.0,0.0,0.0,IRONANTIANEMICPREPARATIONS
IRONANTIANEMICPREPARATIONS,medications,female,6,1759,48,0.028425241614553724,0.5464811678981938,0.52,0.5021164423639555,0.5464811678981938,0.0443647255342383,0.00537109375,age + BMI + height,age + BMI + height + gait embedding score,0.02857142857142857,0.0,0.02,0.0,-0.02,0.0,0.9801053247513165,0.9795201872440024,-0.0005851375073141485,-0.5685048322910744,0.03409090909090909,0.03409090909090909,0.06,0.06,0.0,1.0,0.9502633118782914,0.9502633118782914,0.0,0.0,0.03977272727272727,0.03977272727272727,0.14,0.14,0.0,1.0,0.901111761263897,0.901111761263897,0.0,0.0,0.02556818181818182,0.045454545454545456,0.18,0.32,0.14,1.777777777777778,0.799297834991223,0.8033937975424225,0.0040959625511994835,3.979533826037522,0.008086691185854672,0.007703820584515785,-0.3828706013388871,-2.3687701345461516e-05,0.0015870759901459152,1.6107636914913765,0.0,-0.002261923481668742,-2.261923481668742,0.0,-0.003213288182514769,-3.213288182514769,0.0,-0.00334786179015855,-3.3478617901585497,0.0,-0.003411028993746447,-3.4110289937464473,0.0,-0.0030540608432380978,-3.054060843238098,0.0,-0.0019491594249979698,-1.9491594249979698,0.0,-0.0017471124114311067,-1.7471124114311067,0.0,-0.0011370096645821489,-1.1370096645821488,0.0,-0.0009620851008002798,-0.9620851008002798,0.0,-0.0003590556835522575,-0.3590556835522575,0.0,-0.0001997449410752424,-0.1997449410752424,0.0,0.0,0.0,0.0,0.0,0.0,IRONANTIANEMICPREPARATIONS
IRONANTIANEMICPREPARATIONS,medications,female,7,1759,48,0.028425241614553724,0.5464811678981938,0.52,0.5021164423639555,0.5464811678981938,0.0443647255342383,0.00537109375,age + BMI + height,age + BMI + height + gait embedding score,0.02857142857142857,0.0,0.02,0.0,-0.02,0.0,0.9801053247513165,0.9795201872440024,-0.0005851375073141485,-0.5685048322910744,0.03409090909090909,0.011363636363636364,0.06,0.02,-0.039999999999999994,0.33333333333333337,0.9502633118782914,0.949093036863663,-0.001170275014628408,-1.1370096645821488,0.028409090909090908,0.022727272727272728,0.1,0.08,-0.020000000000000004,0.7999999999999999,0.8999414862492686,0.8993563487419544,-0.0005851375073142595,-0.5685048322910744,0.028409090909090908,0.036931818181818184,0.2,0.26,0.06,1.3,0.7998829724985371,0.8016383850204798,0.0017554125219426675,1.7055144968732234,0.00872480885475281,0.008620389599842208,-0.10441925491060274,-0.00016581390941823018,0.0018713284062914538,2.037142315709684,0.0,-0.0038222878085953085,-3.8222878085953087,0.0,-0.005141261092023631,-5.1412610920236315,0.0,-0.004484871454740699,-4.4848714547406985,0.0,-0.003566075766189467,-3.566075766189467,0.0,-0.003239155439797983,-3.2391554397979827,0.0,-0.002707165868052736,-2.707165868052736,0.0,-0.0019966998987784074,-1.9966998987784075,0.0,-0.0014212620807276862,-1.4212620807276861,0.0,-0.0008017375840002331,-0.8017375840002331,0.0,-0.0005385835253283863,-0.5385835253283863,0.0,-0.0003994898821504848,-0.3994898821504848,0.0,-0.0004421704251152802,-0.4421704251152802,0.0,-0.0002436449281247462,-0.2436449281247462,IRONANTIANEMICPREPARATIONS
IRONANTIANEMICPREPARATIONS,medications,female,8,1759,48,0.028425241614553724,0.5464811678981938,0.52,0.5021164423639555,0.5464811678981938,0.0443647255342383,0.00537109375,age + BMI + height,age + BMI + height + gait embedding score,0.0,0.05714285714285714,0.0,0.04,0.04,,0.9795201872440024,0.9806904622586308,0.001170275014628408,1.1370096645821488,0.0,0.045454545454545456,0.0,0.08,0.08,,0.9485078993563487,0.9508484493856056,0.002340550029256927,2.2740193291642976,0.017045454545454544,0.056818181818181816,0.06,0.2,0.14,3.3333333333333335,0.8987712112346401,0.9028671737858397,0.0040959625511995945,3.979533826037522,0.02556818181818182,0.045454545454545456,0.18,0.32,0.14,1.777777777777778,0.799297834991223,0.8033937975424225,0.0040959625511994835,3.979533826037522,0.008225916859068809,0.007529788492998108,-0.6961283660707005,-0.0015160128861095318,0.0009001326511275352,2.416145537237067,0.0,0.00018143771243332198,0.18143771243332196,0.0,-0.002941394567071211,-2.941394567071211,0.0,-0.002653022550691681,-2.653022550691681,0.0,-0.0021189725567212774,-2.1189725567212774,0.0,-0.001269220090696353,-1.2692200906963529,0.0,-0.002057446059720079,-2.0574460597200788,0.0,-0.0016223186677574563,-1.6223186677574564,0.0,-0.0009948834565093804,-0.9948834565093805,0.0,-0.0006413900672001865,-0.6413900672001865,0.0,-0.0003590556835522575,-0.3590556835522575,0.0,-0.0003994898821504848,-0.3994898821504848,0.0,-0.0002210852125576401,-0.2210852125576401,0.0,0.0,0.0,IRONANTIANEMICPREPARATIONS
